mesh_file,np,SFC_lambda,SFC_lambda_expr,SFC_rho_max,SFC_rho_max_expr,SFC_rho_min,SFC_rho_min_expr,grow_lambda,grow_lambda_expr,grow_rho_max,grow_rho_max_expr,grow_rho_min,grow_rho_min_expr,metis_lambda,metis_lambda_expr,metis_rho_max,metis_rho_max_expr,metis_rho_min,metis_rho_min_expr
/home/budvin/research/Partitioning/Meshes/10k_tet/1582380_sf_hexa.mesh_2368_8512.obj.mesh,9,0.05237603700730206,4110/78471,1.0000495503307485,4485/4484,0.9998265738423805,4484/4484,0.02971798498808477,2332/78471,1.080098109654882,4844/4484,0.9264673091692888,4155/4484,0.02098864548686776,1647/78471,1.0223471991675546,4585/4484,0.9788667839357829,4390/4484
/home/budvin/research/Partitioning/Meshes/10k_tet/723890_sf_hexa.mesh_2432_8832.obj.mesh,9,0.04397522245710634,3578/81364,1.0000716435019343,4653/4652,0.9998567129961312,4652/4652,0.027419989184405878,2231/81364,1.081530305201318,5032/4652,0.8949706261642069,4164/4652,0.017698244924045033,1440/81364,1.0295171227969622,4790/4652,0.9757844963461814,4540/4652
/home/budvin/research/Partitioning/Meshes/10k_tet/723891_sf_hexa.mesh_2432_8832.obj.mesh,9,0.04194099000243843,3440/82020,1.0001894836570346,4692/4691,0.9999763145428706,4691/4691,0.026712996830041455,2191/82020,1.0869493131217431,5099/4691,0.9309095215537659,4367/4691,0.01791026578883199,1469/82020,1.0289673140691615,4827/4691,0.981430601610611,4604/4691
/home/budvin/research/Partitioning/Meshes/10k_tet/97596_sf_hexa.mesh_2696_9392.obj.mesh,9,0.04149411193114777,3587/86446,1.0000673718251027,4948/4947,0.9998652563497945,4947/4947,0.027358119519700158,2365/86446,1.106784342787846,5476/4947,0.8943609782389005,4425/4947,0.016657797931656757,1440/86446,1.0259381526645557,5076/4947,0.9804621707202047,4851/4947
/home/budvin/research/Partitioning/Meshes/10k_tet/67923_sf_hexa.mesh_2992_10000.obj.mesh,9,0.0468048397442987,4232/90418,1.0001501726986033,5180/5179,0.9999570935146846,5179/5179,0.026067818354752373,2357/90418,1.273936455495248,6598/5179,0.7763713985368887,4021/5179,0.014831117697803535,1341/90418,1.0246712290562718,5307/5179,0.9709952159268873,5029/5179
/home/budvin/research/Partitioning/Meshes/10k_tet/188501_sf_hexa.mesh_2808_10352.obj.mesh,9,0.0488438501902003,4738/97003,1.000060259114191,5532/5531,0.9998794817716179,5531/5531,0.028143459480634618,2730/97003,1.0598975595058753,5863/5531,0.9299186501958421,5144/5531,0.018545818170572045,1799/97003,1.0239228683338355,5664/5531,0.9794516420608617,5418/5531
/home/budvin/research/Partitioning/Meshes/10k_tet/121394_sf_hexa.mesh_3080_10448.obj.mesh,9,0.046494366037463535,4510/97001,1.0001000380144456,5554/5553,0.9999199695884436,5553/5553,0.031113081308440118,3018/97001,1.202857085692563,6680/5553,0.8083271643224426,4489/5553,0.019803919547221164,1921/97001,1.0208079070046618,5669/5553,0.98425401652628,5466/5553
/home/budvin/research/Partitioning/Meshes/10k_tet/84930_sf_hexa.mesh_2984_11176.obj.mesh,9,0.029811331547386383,3127/104893,1.0001114019940958,5985/5984,0.9999442990029522,5984/5984,0.027590020306407483,2894/104893,1.1272767782543307,6746/5984,0.9046955940511335,5414/5984,0.018361568455473674,1926/104893,1.025176850665627,6135/5984,0.9717038934996937,5815/5984
/home/budvin/research/Partitioning/Meshes/10k_tet/1505017_sf_hexa.mesh_3096_10992.obj.mesh,9,0.04573646397133887,4749/103834,1.000037488284911,5928/5927,0.9998687910028117,5927/5927,0.029479746518481422,3061/103834,1.07746954076851,6387/5927,0.8664292408622306,5136/5927,0.019232621299381705,1997/103834,1.0125210871602626,6002/5927,0.9840112464854733,5833/5927
/home/budvin/research/Partitioning/Meshes/10k_tet/67925_sf_hexa.mesh_3204_11696.obj.mesh,9,0.04172577049905127,4530/108566,1.0000179272512146,6198/6197,0.9998565819902835,6197/6197,0.029438314020964206,3196/108566,1.2591384163066277,7804/6197,0.6973342177443933,4322/6197,0.01763903984672918,1915/108566,1.0192180133020203,6317/6197,0.9846901274627562,6103/6197
/home/budvin/research/Partitioning/Meshes/10k_tet/37863_sf_hexa.mesh_3408_11891.obj.mesh,9,0.036169018166011625,3994/110426,1.0000879956354165,6314/6313,0.9999296034916668,6313/6313,0.027502580913915203,3037/110426,1.2059977825099875,7614/6313,0.7477693106421922,4721/6313,0.01751399127017188,1934/110426,1.0300241108041042,6503/6313,0.9726861547667236,6141/6313
/home/budvin/research/Partitioning/Meshes/10k_tet/67919_sf_hexa.mesh_3432_12692.obj.mesh,9,0.048170379486149134,5754/119451,1.000081610002122,6808/6807,0.9999347119983025,6807/6807,0.025617198683979204,3060/119451,1.2996066397897728,8847/6807,0.669707999412408,4559/6807,0.01619911093251626,1935/119451,1.0263763526857852,6987/6807,0.9736399693146393,6628/6807
